2015-03-05 02:42:51,291 INFO [main] Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2015-03-05 02:42:51,296 INFO [main] Could not instantiate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [javax/servlet/ServletContext]
2015-03-05 02:42:51,331 INFO [main] Using TestExecutionListeners: [org.springframework.test.context.support.DependencyInjectionTestExecutionListener@13a95192, org.springframework.test.context.support.DirtiesContextTestExecutionListener@512a5253, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3182f0c6, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@b8d708f]
2015-03-05 02:42:51,472 INFO [main] Loading XML bean definitions from class path resource [facade-context.xml]
2015-03-05 02:42:51,794 INFO [main] Loading XML bean definitions from class path resource [service-context.xml]
2015-03-05 02:42:51,860 INFO [main] Loading XML bean definitions from class path resource [dao-context.xml]
2015-03-05 02:42:51,984 INFO [main] Refreshing org.springframework.context.support.GenericApplicationContext@6cb4f39c: startup date [Thu Mar 05 02:42:51 IST 2015]; root of context hierarchy
2015-03-05 02:42:52,382 INFO [main] Loading properties file from class path resource [appconfig.properties]
2015-03-05 02:42:52,544 INFO [main] Loaded JDBC driver: com.mysql.jdbc.Driver
2015-03-05 02:42:54,335 INFO [main] Using DataSource [org.springframework.jdbc.datasource.DriverManagerDataSource@e5f246b] of Hibernate SessionFactory for HibernateTransactionManager
2015-03-05 02:42:54,780 INFO [main] Initializing EhCache CacheManager
2015-03-05 02:42:54,880 WARN [main] One or more caches require a DiskStore but there is no diskStore element configured. Using the default disk store path of /var/folders/rs/bw5zyd754g72z4nqzc0sskwc0000gn/T/. Please explicitly configure the diskStore element in ehcache.xml.
2015-03-05 02:42:55,447 INFO [main] Initializing ExecutorService  'appScheduler'
2015-03-05 02:42:55,698 INFO [main] Initializing EhCache CacheManager
2015-03-05 02:42:55,770 INFO [main] com.sel2in.smsWebSend.facade.impl.AptHelper: Creating SlotInfo lane: 1, hour: 0, min: 0
2015-03-05 02:42:55,775 INFO [main] com.sel2in.smsWebSend.facade.impl.AptHelper: Creating SlotInfo lane: 1, hour: 0, min: 10
2015-03-05 02:42:55,776 INFO [main] com.sel2in.smsWebSend.facade.impl.AptHelper: Creating SlotInfo lane: 1, hour: 0, min: 20
2015-03-05 02:42:55,777 INFO [main] com.sel2in.smsWebSend.facade.impl.AptHelper: Creating SlotInfo lane: 1, hour: 0, min: 30
2015-03-05 02:42:55,778 INFO [main] com.sel2in.smsWebSend.facade.impl.AptHelper: Creating SlotInfo lane: 1, hour: 0, min: 40
2015-03-05 02:42:55,779 INFO [main] com.sel2in.smsWebSend.facade.impl.AptHelper: Creating SlotInfo lane: 1, hour: 0, min: 50
2015-03-05 02:42:55,780 INFO [main] com.sel2in.smsWebSend.facade.impl.AptHelper: Creating SlotInfo lane: 1, hour: 1, min: 0
2015-03-05 02:42:55,781 INFO [main] com.sel2in.smsWebSend.facade.impl.AptHelper: Creating SlotInfo lane: 1, hour: 1, min: 10
2015-03-05 02:42:55,782 INFO [main] com.sel2in.smsWebSend.facade.impl.AptHelper: Creating SlotInfo lane: 1, hour: 1, min: 20
2015-03-05 02:42:55,783 INFO [main] com.sel2in.smsWebSend.facade.impl.AptHelper: Creating SlotInfo lane: 1, hour: 1, min: 30
2015-03-05 02:42:55,785 INFO [main] com.sel2in.smsWebSend.facade.impl.AptHelper: Creating SlotInfo lane: 1, hour: 1, min: 40
2015-03-05 02:42:55,786 INFO [main] com.sel2in.smsWebSend.facade.impl.AptHelper: Creating SlotInfo lane: 1, hour: 1, min: 50
2015-03-05 02:42:55,787 INFO [main] com.sel2in.smsWebSend.facade.impl.AptHelper: Creating SlotInfo lane: 1, hour: 2, min: 0
2015-03-05 02:42:55,788 INFO [main] com.sel2in.smsWebSend.facade.impl.AptHelper: Creating SlotInfo lane: 1, hour: 2, min: 10
2015-03-05 02:42:55,789 INFO [main] com.sel2in.smsWebSend.facade.impl.AptHelper: Creating SlotInfo lane: 1, hour: 2, min: 20
2015-03-05 02:42:55,790 INFO [main] com.sel2in.smsWebSend.facade.impl.AptHelper: Creating SlotInfo lane: 1, hour: 2, min: 30
2015-03-05 02:42:55,791 INFO [main] com.sel2in.smsWebSend.facade.impl.AptHelper: Creating SlotInfo lane: 1, hour: 2, min: 40
